5666,0
5667,0
5668,0
5669,0
5670,0
5671,0
5672,0
5673,0
5674,3
5675,0
5676,0
5677,0
5678,3
5679,0
5680,0
5681,0
5682,0
5683,0
5684,0
5685,0
5686,0
5687,0
5688,0
5689,0
5690,3
5691,0
5692,2
5693,0
5694,0
5695,0
5696,1
5697,0
5698,0
5699,0
5700,0
5701,3
5702,0
5703,0
5704,0
5705,0
5706,0
5707,0
5708,3
5709,0
5710,0
5711,0
5712,0
5713,1
5714,0
5715,0
5716,1
5717,0
5718,1
5719,0
5720,0
5721,0
5722,0
5723,0
5724,0
5725,0
5726,0
5727,0
5728,0
5729,2
5730,0
5731,0
5732,0
5733,4
5734,4
5735,0
5736,2
5737,0
5738,0
5739,0
5740,0
5741,0
5742,0
5743,0
5744,0
5745,0
5746,0
5747,0
5748,2
5749,0
5750,0
5751,0
5752,0
5753,0
5754,2
5755,0
5756,0
5757,0
5758,2
5759,0
5760,0
5761,3
5762,0
5763,0
5764,0
5765,2
5766,0
5767,2
5768,0
5769,2
5770,0
5771,2
5772,0
5773,0
5774,2
5775,0
5776,0
5777,0
5778,2
5779,0
5780,2
5781,0
5782,0
5783,2
5784,2
5785,1
5786,0
5787,0
5788,0
5789,0
5790,3
5791,2
5792,1
5793,0
5794,3
5795,0
5796,0
5797,2
5798,0
5799,0
5800,3
5801,2
5802,2
5803,0
5804,0
5805,0
5806,2
5807,2
5808,0
5809,1
5810,0
5811,0
5812,2
5813,0
5814,3
5815,0
5816,4
5817,0
5818,0
5819,0
5820,2
5821,0
5822,0
5823,0
5824,0
5825,1
5826,4
5827,2
5828,0
5829,0
5830,0
5831,0
5832,0
5833,0
5834,3
5835,0
5836,0
5837,0
5838,0
5839,0
5840,0
5841,0
5842,0
5843,0
5844,4
5845,1
5846,3
5847,0
5848,0
5849,0
5850,1
5851,0
5852,0
5853,0
5854,0
5855,0
5856,0
5857,0
5858,0
5859,0
5860,0
5861,2
5862,0
5863,0
5864,0
5865,2
5866,0
5867,0
5868,0
5869,0
5870,0
5871,0
5872,0
5873,0
5874,0
5875,2
5876,3
5877,0
5878,0
5879,0
5880,1
5881,0
5882,2
5883,0
5884,0
5885,0
5886,0
5887,0
5888,0
5889,0
5890,2
5891,0
5892,0
5893,0
5894,0
5895,0
5896,0
5897,0
5898,0
5899,0
5900,2
5901,0
5902,0
5903,2
5904,0
5905,0
5906,0
5907,0
5908,0
5909,2
5910,0
5911,2
5912,0
5913,2
5914,2
5915,2
5916,0
5917,1
5918,0
5919,0
5920,0
5921,2
5922,0
5923,2
5924,0
5925,0
5926,0
5927,2
5928,0
5929,1
5930,0
5931,0
5932,0
5933,2
5934,3
5935,1
5936,0
5937,0
5938,2
5939,0
5940,0
5941,0
5942,0
5943,1
5944,0
5945,1
5946,0
5947,0
5948,0
5949,2
5950,0
5951,0
5952,2
5953,0
5954,0
5955,0
