sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,label
8,114.08382645569729,,288358.4,4.631225872443575,0.8800000000000001,139907.36420421198,,1.2484787794857255,-61632571852.92417,121850.81375776947,385922.10190505756,259.40754165902007,4263718.259347212,267.30542365317785,5.381100339130062,,-1059373511.3529887,0.0,,0.3642723784095008,64390.22169304537,6.433380880188632e-06,437006.8985449482,,-168867.10820815136,1.3358677910733845,0.631345679472109,0.01666917209295764,227189.47360757735,34.185058203835595,11.0,4895719527.394231,20.258646380396947,70.55043025547195,,406270.87686003867,4505.6,1.1081806438602573,1126.4,13.384231998443205,1562029279348.722,1980.0,-14.113027175312018,874437322.3231466,139.02293530613878,228881.6374872065,0.1005251617997154,114.51054481274082,288358.4,,6.450949317007799,2.8636610255097508e+19,361513425225.0159,279.4238472427148,-1890759851397000.5,,-38259672.41343954,-12.27561647784801,18022.4,204.08048522918685,-0.7237562201415699,0.005306796145056053,1.527658569193886,4.997862055572259,72954675.2,86773.93502231919,112.82758845774784,386.75888490248406,1.1914263336701678,,0.0,-6383066.61084065,,1.0756545809633713,0.6765600496426726,,,162.29477059208386,,44.0,2.658163989639858,-9.669750529530221,85.83666917546849,6924.269909074622,0.10147437080615772,,0.0,-6.010449987755322e+16,0.13853597675881174,8.105926623973069e+16,412977.6659968162,83.58406615337192,499733931535743.6,154.4828782153401,-19.944087933630065,1.2407597362924765,1.270016318990666e+17,7.896061949334781,2857114276.6140203,-1.00058222335792,315061893.69907683,-249240296982865.03,297194.8095324402,215.59282063730626,0.18791275756375336,4
9,-2.109468026719071,0.7475976332798893,288358.4,33.960280586545984,0.8800000000000001,122054.30566817982,,0.3761872353599891,-133992935507.15794,40824.429248014814,175659.46811019143,412.0997802874154,4347590.0722055435,210.14991823880982,-4.653137686709809,-4.6714122381736285,-180795760.37266517,0.0,0.809261652050058,1.320196916901576,,-0.8016322280698952,597901.65984451,1126.4,46233.48185188409,,0.6460646256148712,-0.0019364676871031735,431297.4071170711,27.242603323203053,11.0,-1571034218.865199,-23.139381023790932,,-302048.9938924204,62051.349143918174,,,1126.4,-3.6523737345744,,1980.0,-25.08266200636369,-58182597.389968604,55.37727256007697,79941.92591828419,0.8904910652633733,,288358.4,-2.2740465337766328e+18,-6.949764928840207,1.6431842869609075e+17,,,-738020018050088.9,1856920.4451674097,45500229.59770966,2.3323244387746422,18022.4,219.76118730785385,13.776643526509753,0.04388798669238896,0.6646101272413283,6.288202059252763,72954675.2,230391.31919207485,99.88032240269816,343.45024125288637,1.2549812612641005,40.218657248318856,0.0,-5852089.508841122,276709.80572302203,1.0591259311253796,1.7602143014743126,1.0542167720990103,1793660361.6295786,202.99144034748053,,44.0,2.605286330425936,-7.863593492590242,31.94567473841101,7192.7699110117,-22.357751230560627,592.6963945199817,0.0,1.4351415470165843e+17,0.3166711266360387,1.468749333590823e+17,,69.8732572632027,1.103583637713476e+17,140.53116932431922,5.0823632916150165,,-3.1065610268563748e+16,15.350618974578573,-4470164993.464168,13.624731575963304,,-9176459184112144.0,361752.13020848023,351.97916371916085,2.1847735915317887,4
21,74.4003091458988,,288358.4,5.797831187809002,0.8800000000000001,297398.5749046507,,1.2300107035075878,-120752045665.60173,395429.2631685963,174614.78708645818,332.2702657432812,-1094040.9150788258,321.6293509124537,2.315098075706884,-16.117576095711904,324202362.9064892,0.0,0.34354955849284874,0.6191412463837127,,-1.147785697443945,,1126.4,48114.78221291238,0.9136424871861788,0.6294906614259965,0.011209439678015996,595261.7093013213,14.824970299913465,11.0,-365292654.5751127,0.5757716989971391,86.27887429893559,-608358.5683454693,270095.1451685393,,1.1044869952049905,1126.4,0.17572288976707512,-1754550394062.6624,1980.0,-17.053928431823607,109586852.62062834,26.983917571067163,93071.79367451926,0.02325857384950265,146.73164760238512,288358.4,1.4649063695012406e+18,-17.128883229204778,-2.561051552240612e+18,-58881467172.2513,262.30769175682155,-9525387199773782.0,-21565.18909219361,171537776.25107968,,18022.4,218.45527984609924,-16.472652527474178,-0.0008897021371025508,0.3359661061835915,8.236337958512188,72954675.2,164292.08994479929,77.9025595650606,165.7252066399404,1.266783468110065,26.197230535291553,0.0,-4310083.326289127,53246.9775566143,,2.1262073803364365,1.0641601884364695,-4794466563.319904,195.76300773521703,2027.0262308185845,44.0,0.7329948818768064,-1.6771649837140303,75.41769347179697,7971.861549399003,-7.310762091489455,622.5185904335558,0.0,1.574156721572472e+17,2.006862383816048,1.4861835578106067e+17,546394.527855369,168.23081619464554,3.2890034358275456e+16,263.9819523925969,10.532151309503716,2.680314788313253,1.1840810103471862e+17,9.984892455509312,-5606441715.962117,-0.1934434277887844,,-1.0785712549722956e+16,433502.830667205,318.3299701972065,1.5256261510265183,4
27,155.7678278615273,2.117306949255844,,2.4801286528414344,0.8800000000000001,425211.30670371704,-403509946362454.4,3.6297563704231526,196470932685.7212,169790.84054237005,52775.73237020576,331.3172825236214,3044556.627195945,409.94384596742464,8.552364189674039,25.79455197187409,-194263760.97630158,0.0,0.06949425350154126,5.6783109319252185,344192.35907398904,-0.14453541925248314,429494.4214603871,1126.4,53718.04861892879,0.9021016468872864,0.7196213136238905,0.0028967910912600513,273534.78259072115,29.8346624452541,11.0,631069129.4283134,13.110713194551186,11.058733593466997,,314475.1037620339,4505.6,1.098885115352675,1126.4,3.467619518906337,-8826535407639.63,,14.241834582007868,-1148082630.3605535,44.22725902980322,183145.107288362,,124.04903558367451,288358.4,-2.2797153215004457e+18,0.30577421985075404,-5.049704433229331e+19,217237064695.81345,271.0357867207937,2527889476313738.0,1643792.4314522543,399240269.16777164,,18022.4,25.79897221511871,-6.267071800005975,-0.038016122572364204,,8.191653466823094,72954675.2,,107.57220472074205,337.7111048830329,3.0632236565194386,12.647423162480054,0.0,16987727.87194253,309903.9262600533,1.0712866329897688,2.6581879012275604,1.0685232436693943,-7701179634.128253,129.3006257398786,31815.77683094042,,4.716376965969927,-14.199326911413795,72.69353744331104,7744.984265305074,19.59835230987528,536.6250430697477,0.0,2.272687287934016e+17,0.2607988482055428,-2.055275922365385e+17,592943.8935529712,154.0947602908671,-1.6806474650008004e+16,398.7439601103279,3.503519767674811,0.13247608916456635,-1.8427980900067488e+17,-3.095986533080712,753297316.570302,8.66241020869008,-563249497.7439094,-1.1184266657107022e+16,276091.7573175901,124.06573803599665,0.11161753904230448,4
28,71.40423164119403,0.6459858333506953,288358.4,-13.854884585765715,0.8800000000000001,219268.0042157932,197521223965850.1,0.7357386133122754,-100418241729.72957,113301.12416294008,344379.98955015943,266.5088138703925,2069210.4553545087,385.5410846526641,17.021323377217847,8.999493660880535,-1184768565.5872755,0.0,0.3506792591920813,0.3978449628719245,542925.4402867794,0.6059857923364996,383954.0578018574,1126.4,-85150.43996980421,,0.6212432493622955,,359261.3868658998,24.083421669063988,11.0,-3197941203.342198,5.506071336809125,74.64850609765006,127575.667954609,340031.1707831513,4505.6,1.0979079135817151,1126.4,-12.707480033377486,17824015885415.047,1980.0,-4.035703616048758,-679494420.1895907,43.139484559512994,130900.9546578851,0.42827152566463894,63.07466052999678,288358.4,1.981264014364852e+17,-17.988585599569713,2.685157313726517e+19,-28324729085.6699,156.38836222579653,-1.136705188205168e+16,3259641.636506285,-590375821.6666014,-14.32454184433166,,234.0612796163197,-3.634657287518912,0.04379914360574305,0.6775399450426796,4.595797785723684,72954675.2,383069.67516079405,125.63620013846226,386.3399926814195,1.3860768208186645,9.034788794457258,0.0,3702214.2649932764,557877.7900676463,1.0768741744176349,0.4389725871357769,,-6823877066.973239,197.7433363704387,15295.843615341219,44.0,0.3213177349190389,-7.762081084769705,101.90029101729773,25351.83067197684,3.6268104885717354,,0.0,-8.44223987972374e+16,,-4.9313895709512986e+17,280517.28026852955,120.69779208163376,-1.7000007326687158e+16,,-21.460609468753077,,3.72403099617254e+16,12.387669023160678,-4516723146.217833,-0.5875103531491739,,-9042959314638360.0,465653.344404552,304.31747859941987,8.098442283852084e-05,4
39,97.27861303805841,0.07438312832035182,288358.4,18.92908632789407,0.8800000000000001,51688.38659363768,-190472744846370.47,0.1988319437087896,-116551581714.8608,596040.973493628,,334.3671783714508,-3692947.40920967,376.4143298519278,5.857518369991382,1.6974483245791363,67864921.66448897,0.0,0.15107617380026875,1.0618218731220357,30271.722503174966,0.01746125348641269,261734.396611204,1126.4,-45575.68184985624,0.1801861404460082,0.7328488936145845,0.9915001558495038,593925.6536673654,25.605705538663692,11.0,-1253343011.8242192,,4.527446174568015,926765.9185672508,425355.4961070781,4505.6,1.102010484359596,1126.4,10.677604677416301,-10223070725618.35,1980.0,34.42188492230225,930002689.1430596,107.72991648241673,79538.84080103078,0.07100663427969844,198.59339054986083,288358.4,,8.930486730780999,-2.486023090654161e+19,175451086305.3999,150.15058914315085,703949387852217.2,1764183.1154054904,-48718967.08623493,10.320699227472042,18022.4,193.73647258457504,-21.773070863457527,0.033713293557386295,0.08405544522231957,11.827221925776177,72954675.2,109024.58112893064,138.56941123047977,375.13139469502516,,38.96478737427703,0.0,-1321658.164804783,592862.681940156,1.0581019143939996,,1.0968649587568005,-2917062450.144695,210.4248842805983,,44.0,0.7018063877608375,6.3045199234734115,67.79349155445911,15568.692472295186,5.010196823661179,479.0336547172333,0.0,3.608168313221824e+16,0.23818370657422264,2.446600107108709e+17,680091.9845874432,179.44883585624814,-4.304524520537817e+16,279.9833218309715,7.557697061402387,0.34476986665528025,6.863636945198642e+16,28.96134614360775,-5461729360.283556,-17.02376706377441,-690389161.2466217,-8098177597068336.0,,89.13804720526345,0.7589417022670556,4
51,130.0232617967197,0.48806110190726504,288358.4,-2.9641679101451364,0.8800000000000001,280011.0026283332,381163577170601.75,,-134972686450.61134,389851.3158509733,415388.60363882716,411.6029592214454,-5447965.134992098,421.22060019610456,14.541833884023113,13.013886541627645,-366651088.9776781,0.0,0.029983747749109863,3.3766115545323494,516728.70413640776,0.09619558901011437,230358.93498880125,1126.4,53451.82833253626,0.4609746028230191,0.6723269101960092,0.0255087327823681,444435.9243871506,20.049610868929587,11.0,-3076924469.974994,5.854047713345442,61.401672688090294,-912126.5754300423,,4505.6,1.099449371581451,1126.4,11.608514634542058,6448177317341.45,,11.848976275412095,-731404949.7323539,58.15686716497531,198695.39996882528,1.1459086428747591,171.86205580997554,288358.4,-9.830769148658225e+17,-4.76925845478759,2.661558996146177e+19,348220283670.1049,213.4089650965921,-4912640170678222.0,327568.59733664826,-294371300.04648453,-24.419157396653546,18022.4,,15.224246787005,0.06858553332949774,0.24405901491079954,2.157279577423888,72954675.2,,,,2.3882515738143097,25.47095749123359,0.0,30986408.63973221,265447.5819849939,1.0540260862602615,0.004565939807380371,1.0744388919034051,-4910787502.391568,103.90428645094052,2003.9908568740645,44.0,0.496226966361914,1.5802336294532424,67.70176554193604,26399.992693201544,2.316781526868626,583.1010453887773,0.0,1.97694151933806e+17,,4.604329012487805e+16,928153.7826294152,43.988680315192354,2.0021503685393424e+16,211.48671727521,-0.5738710495220851,,-4.142630788058161e+16,15.922659526522596,1238214275.20166,-9.287506844963698,331267503.57673633,8515949489638627.0,561241.0122896964,144.4863604324689,0.2422125137014779,4
60,41.717132257945686,,288358.4,3.677947707360958,0.8800000000000001,325354.22862135037,-206181914830323.9,0.6837015529603975,-30039383865.45855,545893.2077324929,323698.3460174649,386.0116738698164,1273745.136796638,238.52470514707161,5.201870693853189,9.588165935846073,1014968135.2193356,0.0,2.175685878303155,0.779228573136432,,-0.9472064377887168,,1126.4,-36159.284435344016,0.04365692511855095,0.6186644025610702,0.005615541144192057,467788.9075168484,6.2823239528530275,,217374407.60065344,,76.22713097016144,,40425.00134947945,4505.6,,1126.4,-0.6864762212326215,,1980.0,-4.367126756023407,-1260299914.5849214,100.59764248430214,130518.63485156855,0.506868835301135,125.36432833365929,288358.4,9.929006285847046e+17,-6.008640339651157,-4.470586685947351e+19,329832352158.8771,296.29479523511145,3739493569967701.0,1154453.4784038935,-108804212.3601265,7.992733803713591,,246.59173518287946,5.995036026602102,0.014775832193080318,1.8437846357632148,8.364674261105245,72954675.2,113909.78602721439,169.01525307525873,234.59185983528968,0.5725140827105546,29.40752742845521,0.0,-15967310.388960045,36546.429204628264,1.0806667786711959,0.1989360988684712,1.0857101457621383,-11267128185.388987,159.06696796948762,24672.58004912562,44.0,0.7148582866625811,-9.589153364309707,85.93278881439328,28956.856662510298,-10.912392612108583,380.084028321419,0.0,-1.919164414037922e+17,,-1.3844768173249232e+17,739762.667287769,48.82993768808762,-1.2556096067094488e+17,282.2085348026868,15.990496551387649,0.12289775164062952,3547309916609550.5,-8.026948473698116,-1562180284.4399312,-5.001073937569869,99791282.10118149,4737338201526915.0,277224.41393471416,,0.23557991622573154,4
77,81.53415910781452,4.9284161099909065,288358.4,4.393201633795327,0.8800000000000001,190801.3683703918,-19985202421322.496,0.908358392444814,-160338538345.82748,111760.17262837502,125297.79363672806,267.36559805417886,-8630690.202261603,253.85383822864856,27.95631864079469,-21.823464714935106,55567288.56343018,0.0,0.030937462312093832,1.971690506116342,580635.2683055687,0.2322666688739743,,1126.4,17866.593270149977,0.11363628313604887,0.6891630351815243,0.9925633748788059,115489.15376760376,-0.4774031426898482,11.0,-2625242141.5418816,-2.347970618396731,45.01819296386747,-309930.34475748485,,4505.6,1.106788131327417,1126.4,27.260397611588004,-3214518378316.9307,,-18.29277350379045,1114981814.4816854,48.453139251435566,241093.11168363155,0.8129385980707011,94.60699427324958,,,35.429418569281246,-2.9151870625450648e+19,247532396600.3384,,2313081339936868.0,-368477.4395809019,-764732857.7742326,38.83997635180254,18022.4,79.48206240743252,4.7285492921039065,-0.014656301768748025,0.18079094807276644,4.510031528468013,72954675.2,152151.32815254867,159.25467960155856,303.1879194418703,0.7098434649604044,15.667383647193889,0.0,-7628528.029764721,380190.0890878692,1.0200137009578296,0.6902054616586141,1.0715489130542009,,70.2074406833674,22785.501166023398,44.0,2.2950209270274606,13.70436205954342,120.12413990749708,6685.8069021330775,5.161387820721076,194.9716650815044,0.0,-1.3712805083908344e+17,,-9.428441687428328e+16,650011.5499271405,87.70332972286538,1.5401836607597398e+17,330.6353647029957,-15.34314017178198,1.128617505601507,-1.1243692542542803e+17,13.118826631797287,-6234677505.437548,-20.03294315332157,-1305396704.334995,2786847719343211.5,182155.923055316,209.8211846104341,0.02012640468196668,4
142,101.96034127986626,0.08221425490310161,288358.4,-0.027070961900944213,0.8800000000000001,274031.1679063277,663355285766486.0,1.3306696093857802,593776561.7268376,384546.0705288072,48484.214901959334,242.25537515469532,596590.706453724,,-30.50963603588671,-5.561882722963859,-756718201.9268924,0.0,0.5195058380274195,0.5477936263817754,,-1.279093452060795,561293.0415572274,1126.4,-59077.16338164425,0.16081595750370312,0.6548301999314255,,206530.88028771343,16.49421200523679,,-7093931933.98658,0.8280502025023628,46.55748011762888,75195.64749583518,139427.55347835072,4505.6,1.097515048663661,1126.4,12.206747260760018,-15319020621004.506,1980.0,1.4371305421832783,-648370870.0725161,13.72790139566515,81134.4034708861,0.16743660087655604,130.81468622608543,288358.4,7.667342222072554e+17,11.316824920975025,-6.897050676549137e+17,81408271797.69644,178.89634481480823,,868750.3624883672,-343533989.05818915,-16.576533948292855,18022.4,,-0.4886083253868749,-0.0772635111046357,0.3699769238638583,6.2926676265401555,72954675.2,137767.44254282827,168.29500893730025,373.736733387717,2.2765965066363623,13.595733838276825,0.0,-12029623.483896822,576770.2192203018,1.0346742447953907,6.005216653521805,1.0471424511894636,-371308118.07848793,131.53202318056523,28295.94008201995,,0.32907118898272936,-0.18938422965416485,68.5293231601445,16761.773680869523,-6.802246052449039,315.5260963402545,0.0,1.290056490841895e+17,0.35001852706880177,2.7284204598103866e+17,808402.7709407845,37.52237224749442,1.2714426342785091e+17,289.82689752557695,-8.840759446317579,,-3.4696349788268024e+16,1.9122594801327164,7123242665.26513,15.313040791817247,-593753960.1901313,1.4832452923442794e+16,,153.94292497216776,,4
